Frequency,S33,S32,S23,S22
(3955000000+0j),(0.5907344222+0.5473126274j),(0.006948777009+0.0007161856047j),(0.006970370654+0.0008813082241j),(-0.2026809454-0.03427119936j)
(3956000000+0j),(0.6288659573+0.5060608152j),(0.006932161283+0.0001866322127j),(0.006996996701+0.000287812436j),(-0.2146006823-0.01851539251j)
(3957000000+0j),(0.6632615328+0.4623531762j),(0.006858966779-0.0003846604668j),(0.00697174808-0.0002281586931j),(-0.2247406542-0.00101740015j)
(3958000000+0j),(0.6948680878+0.4158511887j),(0.006878142711-0.0009503058973j),(0.006925058085-0.0007384100463j),(-0.233192414+0.01822178153j)
(3959000000+0j),(0.7221109271+0.3675839615j),(0.006759701762-0.001481574844j),(0.006917778403-0.001399549772j),(-0.2392760664+0.03862570667j)
(3960000000+0j),(0.7459486723+0.3172374211j),(0.006703185383-0.001998135354j),(0.006778798997-0.001911528409j),(-0.2431493551+0.05989261193j)
(3961000000+0j),(0.7654898167+0.2652250491j),(0.006505861878-0.002574695507j),(0.006620165426-0.002362985397j),(-0.2445280999+0.08205103065j)
(3962000000+0j),(0.7816326022+0.2117868497j),(0.006364280824-0.003006960964j),(0.00651004957-0.002908948809j),(-0.2436899245+0.1044626456j)
(3963000000+0j),(0.7931326032+0.1572444913j),(0.006241715048-0.003531439928j),(0.00630419841-0.003389806952j),(-0.2401462346+0.1271348933j)
(3964000000+0j),(0.8009207249+0.1015449202j),(0.005913585424-0.004051146563j),(0.005935286637-0.003976773471j),(-0.2344015986+0.1495582401j)
(3965000000+0j),(0.8043127656+0.0453953786j),(0.005602200516-0.004575462081j),(0.005641529802-0.004438616335j),(-0.2257726341+0.1717254463j)
(3966000000+0j),(0.803243041-0.01140036613j),(0.005295686889-0.005090466235j),(0.005412701052-0.004891095683j),(-0.2149870843+0.1931331508j)
(3967000000+0j),(0.7976537347-0.06859638634j),(0.004901282024-0.005498923361j),(0.004940358922-0.005410468671j),(-0.2018014938+0.2133136337j)
(3968000000+0j),(0.7876332402-0.1252347448j),(0.004471920896-0.005922889337j),(0.004626974463-0.005869935732j),(-0.1864260137+0.2325939386j)
(3969000000+0j),(0.7730186582-0.1823637852j),(0.003951978404-0.006298844237j),(0.004209106322-0.006166525185j),(-0.1689909399+0.2500358957j)
(3970000000+0j),(0.7535483837-0.2378835434j),(0.003601179225-0.006675776094j),(0.003651895327-0.006577433553j),(-0.1495224237+0.2658820434j)
(3971000000+0j),(0.7307876945-0.2957159527j),(0.002988544293-0.007087966427j),(0.003135832492-0.007013119292j),(-0.1305560172+0.2819588251j)
(3972000000+0j),(0.7018235326-0.3489587353j),(0.002383689862-0.007426075172j),(0.002533507068-0.007259632461j),(-0.107733354+0.2938344843j)
(3973000000+0j),(0.667991519-0.4005939375j),(0.001737913-0.007746809628j),(0.001976336353-0.007540853228j),(-0.08360259235+0.3033650234j)
(3974000000+0j),(0.6295070648-0.4492966374j),(0.001112541882-0.007900510915j),(0.001290352782-0.007816554047j),(-0.0586627014+0.3102819319j)
(3975000000+0j),(0.5863616467-0.4954449991j),(0.0004880795605-0.008035424165j),(0.0007440365735-0.007942632772j),(-0.03328179196+0.3147550609j)
(3976000000+0j),(0.538654983-0.5380722468j),(-0.0002346805704-0.008131267503j),(-2.234598651e-05-0.008056434803j),(-0.007223148365+0.3165986215j)
(3977000000+0j),(0.4866848588-0.577102123j),(-0.0009457818232-0.008202935569j),(-0.0006617657491-0.008128210902j),(0.01895862631+0.3157432648j)
(3978000000+0j),(0.4304334819-0.6117398984j),(-0.001670099562-0.008227889426j),(-0.001451477408-0.008145172149j),(0.04515643045+0.3121210093j)
(3979000000+0j),(0.3702749312-0.6416054781j),(-0.002402409213-0.008108019829j),(-0.002130137058-0.008134270087j),(0.07084492594+0.3057991355j)
(3980000000+0j),(0.3067177236-0.6663286634j),(-0.003202453488-0.008022504859j),(-0.00285383896-0.008061321452j),(0.09553020447+0.2969086164j)
(3981000000+0j),(0.2399315238-0.6851200296j),(-0.003905215533-0.007820186205j),(-0.003644530196-0.007836218923j),(0.1192601323+0.2849825725j)
(3982000000+0j),(0.1710143238-0.6973903557j),(-0.004733595997-0.007495794911j),(-0.004356398247-0.007646325976j),(0.1412337422+0.2708559468j)
